TERM_ID,TXN_CCY_CODE,TRN_AMOUNT,TRN_DT
ABI0044,USD,0,4/9/2025
ABI0045,AFN,47500,4/9/2025
ABI0045,USD,0,4/9/2025
ABI0046,AFN,6000,4/9/2025
ABI0047,AFN,106500,4/9/2025
ABI0047,USD,0,4/9/2025
ABI0049,AFN,105500,4/9/2025
ABI0049,USD,0,4/9/2025
ABI0051,USD,800,4/9/2025
ABI0053,AFN,175000,4/9/2025
ABI0053,USD,0,4/9/2025
ABI0055,AFN,186000,4/9/2025
ABI0055,USD,0,4/9/2025
ABI0056,AFN,146000,4/9/2025
ABI0056,USD,0,4/9/2025
ABI0057,AFN,492000,4/9/2025
ABI0063,AFN,37500,4/9/2025
ABI0063,USD,0,4/9/2025
ABI0067,AFN,151000,4/9/2025
ABI0071,AFN,5000,4/9/2025
ABI0075,AFN,126500,4/9/2025
ABI0075,USD,0,4/9/2025
ABI0080,AFN,124500,4/9/2025
ABI0080,USD,0,4/9/2025
ABI0081,AFN,122000,4/9/2025
ABI0081,USD,0,4/9/2025
ABI0082,AFN,117500,4/9/2025
ABI0082,USD,0,4/9/2025
ABI0086,AFN,6500,4/9/2025
ABI0087,AFN,294500,4/9/2025
ABI0090,AFN,5000,4/9/2025
ABI0090,USD,300,4/9/2025
ABI0093,AFN,130500,4/9/2025
ABI0093,USD,0,4/9/2025
ABI0095,AFN,42000,4/9/2025
ABI0096,AFN,34000,4/9/2025
ABI0096,USD,0,4/9/2025
ABI0098,AFN,89000,4/9/2025
ABI0099,AFN,209000,4/9/2025
ABI0099,USD,0,4/9/2025
ABI0100,AFN,178500,4/9/2025
ABI0100,USD,1000,4/9/2025
ABI0101,USD,7600,4/9/2025
ABI0103,AFN,78000,4/9/2025
ABI0105,AFN,384000,4/9/2025
ABI0105,USD,0,4/9/2025
ABI0109,AFN,6000,4/9/2025
ABI0110,AFN,18000,4/9/2025
ABI0111,AFN,77000,4/9/2025
ABI0111,USD,0,4/9/2025
ABI0113,AFN,0,4/9/2025
ABI0113,USD,500,4/9/2025
ABI0116,AFN,198500,4/9/2025
ABI0116,USD,0,4/9/2025
ABI0119,AFN,26000,4/9/2025
ABI0120,AFN,10000,4/9/2025
ABI0121,AFN,77000,4/9/2025
ABI0123,AFN,51500,4/9/2025
